Year,"Agriculture, forestry, and fishing, value added (% of GDP) China","Agriculture, forestry, and fishing, value added (% of GDP) India","Agriculture, forestry, and fishing, value added (% of GDP) United States","Manufacturing, value added (% of GDP) China","Manufacturing, value added (% of GDP) India","Manufacturing, value added (% of GDP) United States","Agriculture, forestry, and fishing, value added (annual % growth) China","Agriculture, forestry, and fishing, value added (annual % growth) India","Agriculture, forestry, and fishing, value added (annual % growth) United States",Fertilizer consumption (kilograms per hectare of arable land) China,Fertilizer consumption (kilograms per hectare of arable land) India,Fertilizer consumption (kilograms per hectare of arable land) United States,Fertilizer consumption (% of fertilizer production) China,Fertilizer consumption (% of fertilizer production) India,Fertilizer consumption (% of fertilizer production) United States
1960,23.1752942,41.31283906,,,14.75011809,,,,,,,,,,
1961,35.79485515,40.38740161,,,15.35383648,,1.400000005,0.084207443,,7.040823235,2.171289937,41.33427808,193.6170213,153.9834046,92.01639943
1962,38.98640509,38.3713352,,,15.86329813,,4.499999996,-1.989098824,,9.598448109,2.885768985,46.72553669,175.1504425,160.0741963,93.6281842
1963,39.85420171,39.31975131,,,15.75238835,,11.3,2.339252223,,12.11820841,3.453991236,51.06483422,160.2827763,166.3954086,92.34558449
1964,38.02979795,41.18773833,,,14.85073996,,12.90000001,9.224274695,,16.32831897,4.901985647,55.0294808,141.3996627,206.6109077,92.10360745
1965,37.54901961,38.95214348,,,15.01090777,,9.699999996,-11.04219709,,25.41529212,4.959043333,61.03819904,136.4064955,219.9675347,90.53684095
1966,37.17901202,40.02544761,,,14.50399297,,7.200000006,-1.422579222,,36.46042686,6.939907939,69.24350582,142.7091328,242.0497031,93.20078283
1967,39.80604169,42.76762174,,,13.23186125,,1.899999995,14.87087224,,26.56776405,9.631993992,76.2348038,146.4964693,252.4192226,94.64234941
1968,41.6432544,41.63355064,,,13.52278801,,-1.599999991,-0.158278985,,26.68593544,10.99963141,76.85677818,200.5952381,226.835867,97.61474177
1969,37.5191112,41.35834331,,,14.14647158,,0.799999989,6.427516143,,34.54585231,12.3893584,76.13479994,174.7484909,207.6915016,97.56266306
1970,34.79843839,39.9278062,,,14.45654509,,7.700000007,7.092165395,,44.04049287,14.05455904,80.63532546,167.2485769,212.7663587,96.38804326
1971,33.63181245,38.0997785,,,14.98228674,,1.900000001,-1.877366735,,45.83174418,16.6303613,82.87535888,141.8577198,214.3444937,98.07013032
1972,32.41654913,38.01772227,,,15.10254938,,-0.900000006,-5.018479761,,52.91116265,17.27928783,85.72313082,132.6390293,199.8772386,96.44816468
1973,32.92576736,41.1620452,,,15.01528531,,8.999999999,7.201906548,,65.28871192,17.62561784,91.54384325,132.5612014,206.5264843,96.452858
1974,33.42645967,38.19969328,,,16.34591338,,4.099999999,-1.523356925,,56.17380967,15.93364747,88.70377917,124.6523586,169.5414416,96.63358714
1975,31.95262379,35.26950135,,,15.83848666,,2.000000009,12.88978365,,70.0672898,21.58825492,95.64874292,123.075265,191.1582864,97.88602376
1976,32.35963327,33.44297129,,,16.26588883,,-1.800000006,-5.77818282,,65.77711601,21.0839396,105.1948791,115.9263272,145.6002045,102.153906
1977,28.99076923,34.94772597,,,16.08086893,,-2.200000003,10.03625382,,93.75404184,26.50762994,102.81233,120.9228121,160.3149724,101.2129065
1978,27.68541782,33.16003828,,,17.09644052,,-1.113120876,2.302506766,,111.7145473,31.43243955,104.8853249,120.2435649,173.0522766,94.64398848
1979,30.7032787,31.28095945,,,17.85203449,,6.13443148,-12.77469046,,134.7493112,32.26120261,110.1793192,119.1258025,175.4767214,92.39780256
1980,29.63393836,33.05748473,,,16.7523758,,-1.482469645,12.88822533,,158.1728538,33.97276088,112.8309808,121.0048292,183.0532028,91.10412705
1981,31.31558121,31.71514239,,,16.77044375,,6.982534407,4.601673301,,155.332192,37.34899823,106.9980337,118.6384278,148.0293889,104.9164356
1982,32.7857031,30.57047008,,,16.36999594,,11.52882427,-0.280834935,,160.034163,35.93043627,93.24290358,122.6189319,132.3514811,97.35724734
1983,32.56812238,31.32414522,,,16.66445469,,8.32589347,10.12097408,,172.4491212,40.7756311,98.80413618,129.6256618,145.0326086,94.55636407
1984,31.53969556,30.14679253,,,16.7078036,,12.88061345,1.585092367,,174.8448721,48.89070885,105.1617853,131.860216,152.2496671,88.43471256
1985,27.93435752,28.63528435,,,16.41801286,,1.843879446,0.314273271,,142.9966483,52.98642534,98.55976657,125.165702,150.1416794,101.7096706
1986,26.63849653,27.4687606,,,16.22158381,,3.318687285,-0.409484449,,142.907111,58.85599936,93.14965483,121.1980438,135.5644178,81.85634361
1987,26.32089964,26.88407028,,,16.20954935,,4.704184691,-1.587796598,,187.637111,51.11791918,94.8042593,132.9475541,116.2623306,77.47429597
