Year,PerAnnualGDPGrowthIndia,PerAnnualGDPGrowthChina,PerAnnualGDPGrowthUSA,DollarGDPGrowthIndia,DollarGDPGrowthChina,DollarGDPGrowthUSA,CurrentAccountBalanceChina,CurrentAccountBalanceIndia,CurrentAccountBalanceUSA,FDIPercentGDPChina,FDIPercentGDPIndia,FDIPercentGDPUSA,FDIOutflowDollarBOPChina,FDIOutflowDollarIBOPndia,FDIOutflowDollarBOPUSA
1960,3.722742533,-27.27,2.3,37029883875,59716467625,5.43E+11,,,,,,,,,
1961,2.931127737,-5.57999999,6.1,39232435784,50056868958,5.63E+11,,,,,,,,,
1962,5.994353261,10.3,4.4,42161481859,47209359006,6.05E+11,,,,,,,,,
1963,7.452950122,18.17999999,5.8,48421923459,50706799903,6.39E+11,,,,,,,,,
1964,-2.63577011,16.95,6.4,56480289941,59708343489,6.86E+11,,,,,,,,,
1965,-0.05532877,10.65,6.5,59554854575,70436266147,7.44E+11,,,,,,,,,
1966,7.82596303,-5.770000004,2.5,45865462034,76720285970,8.15E+11,,,,,,,,,
1967,3.387929176,-4.099999992,4.8,50134942203,72881631327,8.62E+11,,,,,,,,,
1968,6.539700296,16.94,3.1,53085455871,70846535056,9.43E+11,,,,,,,,,
1969,5.157229736,19.3,-0.346648734,58447995017,79705906247,1.02E+12,,,0.244106278,,0.072826324,0.113667809,,,6490000000
1970,1.642930384,7.060000003,3.293351653,62422483055,92602973434,1.07E+12,,,-0.084131004,,0.070763624,0.066102932,,,5620000000
1971,-0.553301312,3.809999998,5.258907331,67350988021,99800958648,1.16E+12,,,-0.411223429,,0.024893934,0.099287786,,,7330000000
1972,3.295521135,7.760000002,5.645722571,71463193830,1.14E+11,1.28E+12,,,0.531789507,,0.044331264,0.135402869,,,9340000000
1973,1.18533626,2.31,-0.540551663,85515269586,1.39E+11,1.43E+12,,,0.110015059,,0.057241382,0.229090182,,,5160000000
1974,9.149912015,8.72,-0.205456064,99525899116,1.44E+11,1.55E+12,,-0.149804626,1.061188056,,-0.010486395,0.137099799,,0,13730000000
1975,1.663103637,-1.570000003,5.388139293,98472796457,1.63E+11,1.68E+12,,1.537101815,0.204973599,,-0.007502573,0.155331555,,0,11320000000
1976,7.254764586,7.569999999,4.624153064,1.03E+11,1.54E+11,1.87E+12,,1.744416029,-0.725324787,,-0.029682109,0.140261482,,0,11280000000
1977,5.712532089,11.32597799,5.53530496,1.21E+11,1.75E+11,2.08E+12,,0.504279978,-0.669629473,,0.0131755,0.233883413,,0,14370000000
1978,-5.238182703,7.59132468,3.166145311,1.37E+11,1.5E+11,2.35E+12,,0.03290178,-0.005964223,4.49E-05,0.03174683,0.306394355,,0,24720000000
1979,6.735821528,7.834145016,-0.256749677,1.53E+11,1.78E+11,2.63E+12,,-0.958069194,0.074440723,0.029819636,0.042484827,0.585866342,,4000000,19040000000
1980,6.006203624,5.112761091,2.537719298,1.86E+11,1.91E+11,2.86E+12,,-1.394554633,0.149982492,0.135296316,0.047506181,0.800738126,,2000000,10110000000
1981,3.47573324,9.017113914,-1.802887407,1.93E+11,1.96E+11,3.21E+12,2.766594326,-1.257276246,-0.347121185,0.209664357,0.03591159,0.634908483,44000000,1000000,7774000000
1982,7.288892901,10.77020251,4.583913364,2.01E+11,2.05E+11,3.34E+12,1.837990284,-0.887437672,-1.216883258,0.275698543,0.002584047,0.316452387,93000000,5000000,8770000000
1983,3.820737856,15.19154002,7.236633158,2.18E+11,2.31E+11,3.63E+12,0.780929889,-1.089314216,-2.452141897,0.483945715,0.009068703,0.624874152,134000000,4000000,12820000000
1984,5.254299223,13.43067752,4.169656215,2.12E+11,2.6E+11,4.04E+12,-3.688995684,-1.780805001,-2.868301506,0.536046583,0.045627777,0.221941613,629000000,3000000,3680000000
1985,4.77656417,8.949961764,3.462645977,2.33E+11,3.09E+11,4.34E+12,-2.338756628,-1.834520559,-3.213665031,0.623424606,0.047283784,0.675731298,450000000,-1000000,19524000000
1986,3.965355634,11.65742779,3.459251985,2.49E+11,3.01E+11,4.58E+12,0.109900989,-1.853242437,-3.308751518,0.847702965,0.076091199,1.302414002,645000000,5000000,39797000000
1987,9.62778292,11.22259498,4.177061284,2.79E+11,2.73E+11,4.86E+12,-1.217210117,-2.408461745,-2.315658087,1.022558946,0.030766482,1.086807482,850000000,11000000,21701000000
1988,5.947343328,4.206334355,3.672648159,2.97E+11,3.12E+11,5.24E+12,-1.241344621,-2.301281981,-1.763796667,0.97565029,0.085156734,1.343240723,780000000,10000000,50980000000
1989,5.533454563,3.920251368,1.885964958,2.96E+11,3.48E+11,5.64E+12,3.324577232,-2.191935869,-1.323999555,0.966308311,0.073740021,1.194504107,830000000,6000000,59940000000
1990,1.056831433,9.262786084,-0.108264787,3.21E+11,3.61E+11,5.96E+12,3.461899766,-1.588911312,0.046296529,1.138837732,0.02722554,0.561047032,913000000,-11000000,49270000000
1991,5.482396022,14.22452959,3.522440523,2.7E+11,3.83E+11,6.16E+12,1.499359197,-1.556243036,-0.791448803,2.613162193,0.095941829,0.464853987,4000000000,24000000,58770000000
1992,4.75077622,13.8837293,2.751781042,2.88E+11,4.27E+11,6.52E+12,-2.610340324,-0.67161797,-1.23616054,6.186882076,0.197056163,0.732369584,4400000000,350640.5619,82800000000
1993,6.658924067,13.03680663,4.028793263,2.79E+11,4.45E+11,6.86E+12,1.224118024,-0.51219266,-1.669252924,5.987156294,0.297385909,0.767643589,2000000000,82583302.7,89990000000
1994,7.57449184,10.95395434,2.684217275,3.27E+11,5.64E+11,7.29E+12,0.220324638,-1.544131627,-1.486449358,4.88044416,0.594986258,0.904218188,2000000000,117189079.2,1.1E+11
1995,7.549522249,9.922556752,3.772565502,3.6E+11,7.35E+11,7.64E+12,0.838556009,-1.515954247,-1.544967362,4.651826651,0.617479056,1.209693103,2114000000,239324706.5,1.03E+11
1996,4.049820849,9.236779892,4.381775174,3.93E+11,8.64E+11,8.07E+12,3.843890189,-0.713014,-1.640613309,4.725334152,0.860208566,1.424065573,3765000000,112918990.4,1.21E+11
1997,6.184415821,7.845951788,4.481407561,4.16E+11,9.62E+11,8.58E+12,3.058375308,-1.63832471,-2.372738757,4.435577102,0.625285966,2.329849229,4527000000,47593027.49,1.75E+11
1998,8.845755561,7.661651501,4.753235983,4.21E+11,1.03E+12,9.06E+12,1.930077947,-0.703548206,-2.976139485,3.74900388,0.472644846,3.244314135,4036000000,79357457.32,2.47E+11
1999,3.840991157,8.490093406,4.127484017,4.59E+11,1.09E+12,9.63E+12,1.693848601,-0.982343806,-3.920351703,3.475082246,0.765212649,3.405318336,4612000000,509532974.7,1.86E+11
2000,4.823966264,8.335733478,0.998340792,4.68E+11,1.21E+12,1.03E+13,1.299167957,0.290494936,-3.724113129,3.51300212,1.056378305,1.630116343,9696000000,1054132218,1.46E+11
2001,3.803975321,9.13363079,1.741695251,4.85E+11,1.34E+12,1.06E+13,2.408758466,1.370941111,-4.170551601,3.609099885,1.011571805,1.015460357,6284049719,1261071115,1.79E+11
2002,7.860381476,10.03803048,2.861210768,5.15E+11,1.47E+12,1.09E+13,2.593019028,1.443561063,-4.55826395,3.48740331,0.605889255,1.022023979,8456083724,1237846245,1.95E+11
