Year,"Total reserves (includes gold, current US$) China","Total reserves (includes gold, current US$) India","Total reserves (includes gold, current US$) United States",Total reserves in months of imports China,Total reserves in months of imports India,Total reserves in months of imports United States,Total reserves (% of total external debt) China,Total reserves (% of total external debt) India,Total reserves (% of total external debt) United States,"Debt service (PPG and IMF only, % of exports of goods, services and primary income) China","Debt service (PPG and IMF only, % of exports of goods, services and primary income) India","Debt service (PPG and IMF only, % of exports of goods, services and primary income) United States",Total debt service (% of GNI) China,Total debt service (% of GNI) India,Total debt service (% of GNI) United States,GNI (current US$) China,GNI (current US$) India,GNI (current US$) United States
1960,,674536630.9,19664164000,,,,,,,,,,,,,59716467625,36878683724,5.46E+11
1961,,666357094.9,18825530000,,,,,,,,,,,,,50056868958,39026635578,5.67E+11
1962,,512791844,17252463900,,,,,,,,,,,,,47209359006,41934681632,6.09E+11
1963,,607862500.4,16878648000,,,,,,,,,,,,,50706799903,48186723224,6.43E+11
1964,,499145125.8,16725493600,,,,,,,,,,,,,59708343489,56175789636,6.91E+11
1965,,600850886.2,15498323200,,,,,,,,,,,,,70436266147,59210461463,7.49E+11
1966,,609694584.5,14953446600,,,,,,,,,,,,,76720285970,45536890605,8.20E+11
1967,,663764119.8,14898992000,,,,,,,,,,,,,72881631327,49790942203,8.67E+11
1968,,730352744.9,17857180000,,,,,,,,,,,,,70846535056,52745455871,9.49E+11
1969,,927764119.8,17031416000,,,,,,,,,,,,,79705906247,58086661684,1.03E+12
1970,,1023173271,15236515800,,,3.068784653,,,,,,,,2.19303005,,92602973434,62043816388,1.07E+12
1971,,1245821898,14831073226,,,2.698194038,,13.3546609,,,,,,0.861683643,,99800958648,66959943084,1.16E+12
1972,,1367601419,20573775352,,,3.137043256,,13.63610271,,,,,,0.901263608,,1.14E+11,71072538513,1.28E+12
1973,,1629325093,33703588954,,,4.104354247,,14.85808269,,,,,,0.816506871,,1.39E+11,85101941339,1.43E+12
1974,,2324650347,55700252549,,,4.857933212,,18.30872582,,,,,,0.822457212,,1.44E+11,99161036284,1.55E+12
1975,,2064427968,43154974089,,3.874054855,3.892803797,,14.88883193,,,13.8880238,,,0.876838578,,1.63E+11,98178114598,1.68E+12
1976,,3728750637,44162131646,,7.312783222,3.262006523,,25.56321725,,,16.88630227,,,1.176978939,,1.54E+11,1.02E+11,1.87E+12
1977,4456360000,6085439869,53374370833,,10.3910421,3.297937542,,39.47826828,,,14.5944442,,,1.010059515,,1.75E+11,1.21E+11,2.08E+12
1978,4449800000,8316115828,69447964988,,10.5609208,3.625705149,,50.33892491,,,14.21623643,,,0.952123542,,1.50E+11,1.37E+11,2.35E+12
1979,8707600000,11815414019,1.43E+11,,11.41289678,6.103344406,,64.95417269,,,10.69591818,,,0.83654789,,1.78E+11,1.53E+11,2.61E+12
1980,10090779859,12009788667,1.71E+11,,8.258352404,6.161654509,,57.9529008,,,9.271040759,,,0.748717126,,1.91E+11,1.87E+11,2.85E+12
1981,10106339043,8108837891,1.24E+11,,5.432987958,4.082218402,174.3069217,36.07122306,,,10.1001582,,0.890595956,0.801606063,,1.96E+11,1.94E+11,3.20E+12
1982,17151500473,8241561693,1.43E+11,10.532624,5.431671899,4.837333048,205.162268,30.58903735,,7.58958386,10.98564592,,1.034678024,0.986987064,,2.05E+11,2.00E+11,3.37E+12
1983,19831702778,8215732399,1.23E+11,11.32916468,5.31354411,3.912365032,206.3288407,26.80544355,,9.761050959,13.50541932,,1.162272129,1.141211119,,2.32E+11,2.17E+11,3.61E+12
1984,21281443730,8535944481,1.05E+11,9.4110158,5.384315683,2.653561802,176.0406778,26.05284629,,6.614426911,14.6672021,,0.875207088,1.361330113,,2.61E+11,2.11E+11,4.03E+12
1985,16881047188,9493102974,1.18E+11,4.904785992,5.603183206,2.924834455,101.0888607,24.38204322,,6.369709602,19.147051,,0.799716735,1.471601376,,3.10E+11,2.31E+11,4.31E+12
